iter	Passed	Remaining
1404	53999	15181
1405	54042	15144
1406	54083	15106
1407	54124	15068
1408	54161	15029
1409	54199	14991
1410	54239	14953
1411	54277	14914
1412	54314	14875
1413	54354	14838
1414	54391	14799
1415	54431	14761
1416	54473	14723
1417	54510	14684
1418	54553	14647
1419	54594	14609
1420	54635	14572
1421	54677	14534
1422	54715	14496
1423	54754	14457
1424	54791	14418
1425	54831	14380
1426	54869	14342
1427	54907	14303
1428	54945	14265
1429	54988	14227
1430	55029	14189
1431	55069	14152
1432	55111	14114
1433	55148	14075
1434	55187	14037
1435	55222	13997
1436	55260	13959
1437	55298	13920
1438	55335	13881
1439	55371	13842
1440	55407	13803
1441	55446	13765
1442	55487	13727
1443	55528	13689
1444	55564	13650
1445	55604	13612
1446	55641	13573
1447	55683	13536
1448	55722	13497
1449	55759	13459
1450	55798	13420
1451	55838	13382
1452	55873	13343
1453	55910	13304
1454	55948	13266
1455	55984	13227
1456	56019	13187
1457	56060	13149
1458	56100	13111
1459	56138	13073
1460	56180	13035
1461	56221	12997
1462	56260	12959
1463	56297	12920
1464	56334	12882
1465	56372	12843
1466	56409	12804
1467	56445	12765
1468	56482	12726
1469	56522	12688
1470	56557	12649
1471	56593	12610
1472	56631	12572
1473	56669	12533
1474	56710	12495
1475	56749	12457
1476	56790	12419
1477	56830	12381
1478	56868	12342
1479	56904	12303
1480	56942	12265
1481	56976	12225
1482	57013	12186
1483	57052	12148
1484	57092	12110
1485	57133	12072
1486	57171	12034
1487	57212	11996
1488	57253	11958
1489	57291	11919
1490	57329	11881
1491	57371	11843
1492	57411	11805
1493	57452	11767
1494	57491	11729
1495	57530	11690
1496	57569	11652
1497	57609	11614
1498	57646	11575
1499	57684	11536
1500	57721	11498
1501	57760	11459
1502	57798	11421
1503	57834	11382
1504	57871	11343
1505	57912	11305
1506	57949	11266
1507	57989	11228
1508	58029	11190
1509	58074	11153
1510	58109	11114
1511	58150	11076
1512	58192	11038
1513	58231	11000
1514	58269	10961
1515	58310	10923
1516	58348	10884
1517	58389	10847
1518	58427	10808
1519	58464	10769
1520	58502	10731
1521	58536	10692
1522	58576	10653
1523	58616	10615
1524	58652	10576
1525	58691	10538
1526	58729	10499
1527	58767	10461
1528	58804	10422
1529	58842	10383
1530	58879	10345
1531	58918	10306
1532	58954	10268
1533	58991	10229
1534	59033	10191
1535	59074	10153
1536	59114	10115
1537	59151	10076
1538	59191	10038
1539	59230	9999
1540	59269	9961
1541	59307	9923
1542	59345	9884
1543	59384	9846
1544	59422	9807
1545	59459	9768
1546	59496	9730
1547	59536	9692
1548	59574	9653
1549	59611	9614
1550	59652	9576
1551	59688	9537
1552	59730	9499
1553	59768	9461
1554	59805	9422
1555	59847	9384
1556	59888	9346
1557	59928	9308
1558	59966	9270
1559	60005	9231
1560	60047	9193
1561	60104	9158
1562	60148	9120
1563	60186	9081
1564	60222	9043
1565	60260	9004
1566	60297	8965
1567	60332	8926
1568	60376	8889
1569	60415	8850
1570	60452	8812
1571	60492	8773
1572	60533	8735
1573	60570	8696
1574	60609	8658
1575	60648	8620
1576	60686	8581
1577	60726	8543
1578	60762	8504
1579	60805	8466
1580	60846	8428
1581	60885	8390
1582	60921	8351
1583	60957	8312
1584	60998	8274
1585	61038	8235
1586	61080	8197
1587	61124	8160
1588	61162	8121
1589	61199	8082
1590	61236	8044
1591	61282	8006
1592	61323	7968
1593	61361	7930
1594	61400	7891
1595	61439	7853
1596	61477	7814
1597	61513	7775
1598	61551	7737
1599	61596	7699
1600	61638	7661
1601	61676	7622
1602	61715	7584
1603	61754	7546
1604	61792	7507
1605	61833	7469
1606	61869	7430
1607	61904	7391
1608	61941	7352
1609	61977	7314
1610	62014	7275
1611	62054	7237
1612	62093	7198
1613	62132	7160
